"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"353",59167074,"Beds",2146,TRUE,"Yes",NA,120,140
"354",79129986,"Beds",1640,TRUE,"Yes",NA,NA,154
"355",90349005,"Bookcases & shelving units",75,TRUE,"No",24,10,69
"356",80385616,"Bookcases & shelving units",516,TRUE,"Yes",30,202,80
"357",10434309,"Sofas & armchairs",325,TRUE,"No",NA,36,NA
"358",90213078,"Chests of drawers & drawer units",245,TRUE,"Yes",50,75,35
"359",40426275,"Tables & desks",1795,TRUE,"No",75,78,155
"360",39305180,"Chairs",2275,TRUE,"No",NA,NA,95
"361",59264843,"Wardrobes",3760,TRUE,"No",66,236,150
"362",90349326,"Beds",1495,TRUE,"No",70,18,89
"363",10364523,"TV & media furniture",170,TRUE,"No",NA,64,60
"364",298128,"Wardrobes",1645,TRUE,"No",58,208,88
"365",80426928,"Chairs",20,TRUE,"No",NA,NA,NA
"366",79288032,"Chairs",5465,TRUE,"No",NA,NA,100
"367",19291645,"Bookcases & shelving units",570,TRUE,"No",37,161,80
"368",30264301,"Tables & desks",50,TRUE,"Yes",NA,NA,NA
"369",69193713,"Sofas & armchairs",695,TRUE,"Yes",70,43,90
"370",79320758,"Bookcases & shelving units",1830,TRUE,"No",35,176,213
"371",89255639,"Sofas & armchairs",1045,TRUE,"Yes",93,104,93
"372",10386450,"Outdoor furniture",460,TRUE,"No",82,53,18
"373",319135,"Bookcases & shelving units",570,TRUE,"No",30,155,80
"374",39184437,"Bookcases & shelving units",1395,TRUE,"No",35,176,130
"375",9102532,"Nursery furniture",395,TRUE,"No",44,52,94
"376",49128969,"Tables & desks",425,TRUE,"Yes",58,NA,128
"377",49221321,"Tables & desks",2765,TRUE,"No",NA,NA,NA
"378",10373495,"Bookcases & shelving units",1495,TRUE,"Yes",45,134,121
"379",59299244,"TV & media furniture",1000,TRUE,"Yes",42,38,180
"380",60116960,"Beds",100,TRUE,"No",55,21,92
"381",40365371,"Outdoor furniture",59,TRUE,"No",36,67,39
"382",80247371,"TV & media furniture",225,TRUE,"Yes",40,192,60
"383",69130037,"Sofas & armchairs",2085,TRUE,"Yes",NA,86,88
"384",39180830,"Tables & desks",825,TRUE,"No",79,102,90
"385",50046152,"Cabinets & cupboards",9,TRUE,"No",27,NA,NA
"386",9293107,"Sofas & armchairs",4841,TRUE,"No",97,95,160
"387",9266477,"Outdoor furniture",2616.4,TRUE,"Yes",NA,73,90
"388",80332468,"Beds",85,TRUE,"No",NA,80,NA
"389",40076093,"Nursery furniture",25,TRUE,"No",NA,NA,42
"390",50255536,"Sofas & armchairs",69,TRUE,"Yes",37,NA,65
"391",19259631,"Beds",745,TRUE,"Yes",NA,120,98
"392",30365135,"Cabinets & cupboards",2545,TRUE,"Yes",45,120,160
"393",9323623,"Tables & desks",465,TRUE,"No",40,91,60
"394",70404875,"Chairs",129,TRUE,"No",44,95,50
"395",89303956,"Bookcases & shelving units",515,TRUE,"No",40,190,85
"396",99295593,"Sofas & armchairs",3535,TRUE,"Yes",164,103,252
"397",30339735,"Tables & desks",295,TRUE,"No",36,75,100
"398",40247368,"TV & media furniture",195,TRUE,"Yes",40,128,60
"399",69218285,"Sofas & armchairs",865,TRUE,"Yes",NA,NA,NA
"400",90344927,"Bookcases & shelving units",99,TRUE,"Yes",35,35,35
